name,code
Accounting,ACCT
American Studies,AMST
Anthropology,ANTH
Applied Linguistics,APLN
Arab and Islamic Civilizations,ARIC
Arabic Language,ALNG
Arabic Language Intensive,ALIN
Arabic Language Intensive - Colloquial Arabic,ALIN
Arabic Language Intensive - Egyptian Culture,ALIN
Arabic Language Intensive - Literature,ALIN
Arabic Language Intensive - Media Arabic,ALIN
Arabic Language Intensive - Reading the Qur’an,ALIN
Arabic Language Intensive - Supervised Readings,ALIN
Arabic Language Intensive - Translation,ALIN
Arabic Language Intensive - Writing Arabic,ALIN
Arabic Language Intensive Summer,ALIS
Arabic Writing,ALWT
Architectural Engineering,ARCH
Biology,BIOL
Biotechnology,BIOT
Business Administration,BADM
Business School,BUSC
Center For Arabic Studies Abroad,AIAS
Chemistry,CHEM
Comparative Religion,CREL
Computer Science and Engineering,CSCE
Construction Engineering,CENG
Core Curriculum,CORE
Data Science,DSCI
Economics,ECON
Education,EDUC
Egyptology,EGPT
Electronics and Communications Engineering,ECNG
Engineering,ENGR
English,ENGL
English & Comparative Literature,ECLT
Entrepreneurship,ENTR
Environmental Engineering,ENVE
Executive Business Administration,EMBA
Film,FILM
Finance,FINC
Gender and Women’s Studies,GWST
Global Public Health,GHHE
Graphic Design,DSGN
History,HIST
Intensive English,ELIN
International Business,INTB
International Human Rights Law,LAW
International Management,CEMS
Journalism & Mass Communication,JRMC
Libraries and Learning Technologies,LALT
Linguistics,LING
Management,MGMT
Management of Information Systems,MOIS
Marketing,MKTG
Mathematics and Actuarial Science,MACT
Mechanical Engineering,MENG
Middle East Studies,MEST
Migration & Refugee Studies,MRS
Music,MUSC
Nanotechnology,NANO
Operations Management,OPMG
Petroleum Engineering,PENG
Ph.D. in Applied Sciences,PHDS
Ph.D. in Engineering,PHDE
Philosophy,PHIL
Physics,PHYS
Political Science,POLS
Production /Operations Management,OPMG
Psychology,PSYC
Public Policy and Administration,PPAD
Rhetoric and Composition,RHET
"Robotics, Control and Smart Systems",RCSS
Sociology,SOC
Sociology-Anthropology,SOC/ANTH
Sustainable Development,GREN
Science,SCI
Seminar,SEMR
Teaching & Learning,TEAL
Theatre,THTR
Television and Digital Journalism,TVDJ
Translation Studies,TRST
Visual Arts,ARTV
